2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)
2024-06-13 16:20:47,112 - INFO - ur_api: Send data: movej([-0.3249325850194803, -1.7492939211260206, -1.8662236007829234, -1.0980250020173914, 1.607495900467582, -2.444873592931223], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:47,123 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.6963422441977074, -1.930518346878584, -1.0844237379514265, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:47,123 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.6963422441977074, -1.930518346878584, -1.0844237379514265, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:47,123 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.6963422441977074, -1.930518346878584, -1.0844237379514265, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:48,221 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.6963422441977074, -1.930518346878584, -1.0844237379514265, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:48,221 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.6963422441977074, -1.930518346878584, -1.0844237379514265, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:48,221 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.6963422441977074, -1.930518346878584, -1.0844237379514265, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:48,235 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:48,235 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:48,235 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:49,912 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:49,912 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:49,912 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:49,920 - INFO - ur_api: Send data: movej([-0.2587861802646195, -1.7292084486319204, -1.8975916049444852, -1.0720195347080959, 1.6198920945716353, -2.3607021197290776], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:49,920 - INFO - ur_api: Send data: movej([-0.2587861802646195, -1.7292084486319204, -1.8975916049444852, -1.0720195347080959, 1.6198920945716353, -2.3607021197290776], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:49,920 - INFO - ur_api: Send data: movej([-0.2587861802646195, -1.7292084486319204, -1.8975916049444852, -1.0720195347080959, 1.6198920945716353, -2.3607021197290776], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:51,311 - INFO - ur_api: Send data: movej([-0.2587861802646195, -1.7292084486319204, -1.8975916049444852, -1.0720195347080959, 1.6198920945716353, -2.3607021197290776], a=0.4, v=0.1, t=0, r=0)

